pygame 2.1.2 (SDL 2.0.16, Python 3.10.2)
Hello from the pygame community. https://www.pygame.org/contribute.html
['/dev/video0']
         771455 function calls (765972 primitive calls) in 3.935 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.019    0.001 __init__.py:287(text)
        2    0.000    0.000    0.000    0.000 __init__.py:299(_is_pow2)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        2    0.000    0.000    0.000    0.000 __init__.py:322(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:328(namedtuple)
      695    0.000    0.000    0.029    0.000 __init__.py:332(__getattr__)
        7    0.000    0.000    0.007    0.001 __init__.py:340(__init__)
      226    0.000    0.000    0.000    0.000 __init__.py:346(__setattr__)
       97    0.000    0.000    0.017    0.000 __init__.py:347(add)
        7    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
       83    0.000    0.000    0.000    0.000 __init__.py:384(__getattr__)
      243    0.000    0.000    0.000    0.000 __init__.py:389(__init__)
       83    0.000    0.000    0.000    0.000 __init__.py:391(__getitem__)
        3    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:410(Label)
        1    0.000    0.000    0.000    0.000 __init__.py:414(__init__)
       97    0.001    0.000    0.014    0.000 __init__.py:437(_get_domain)
        1    0.016    0.016    0.016    0.016 __init__.py:445(_map)
        7    0.000    0.000    0.007    0.001 __init__.py:451(LoadLibrary)
    91/84    0.000    0.000    0.001    0.000 __init__.py:463(_add_group)
       61    0.001    0.000    0.026    0.000 __init__.py:477(_update_draw_list)
       29    0.006    0.000    0.006    0.000 __init__.py:48(create_string_buffer)
 1802/301    0.006    0.000    0.024    0.000 __init__.py:482(visit)
        1    0.000    0.000    0.000    0.000 __init__.py:484(HTMLLabel)
     1441    0.001    0.000    0.001    0.000 __init__.py:493(<lambda>)
      949    0.001    0.000    0.001    0.000 __init__.py:509(cast)
        1    0.000    0.000    0.028    0.028 __init__.py:511(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:52(MediaDecoder)
      225    0.000    0.000    0.006    0.000 __init__.py:527(switch_to)
      222    0.001    0.000    1.625    0.007 __init__.py:531(flip)
        1    0.000    0.000    0.000    0.000 __init__.py:546(set_caption)
        1    0.000    0.000    0.000    0.000 __init__.py:555(set_wm_class)
      444    0.006    0.000    0.488    0.001 __init__.py:557(draw)
        1    0.000    0.000    0.000    0.000 __init__.py:583(_update_view_size)
     1334    0.000    0.000    0.000    0.000 __init__.py:586(get_size)
      125    0.000    0.000    0.001    0.000 __init__.py:618(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:619(activate)
        1    0.000    0.000    0.016    0.016 __init__.py:624(set_visible)
        1    0.000    0.000    0.000    0.000 __init__.py:63(MediaEncoder)
        1    0.000    0.000    0.000    0.000 __init__.py:631(set_minimum_size)
     1802    0.000    0.000    0.000    0.000 __init__.py:634(visible)
     1224    0.000    0.000    0.003    0.000 __init__.py:649(__lt__)
     1110    0.000    0.000    0.000    0.000 __init__.py:652(set_state)
     1532    0.000    0.000    0.000    0.000 __init__.py:658(unset_state)
       91    0.001    0.000    0.001    0.000 __init__.py:666(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:68(c_buffer)
        2    0.000    0.000    0.000    0.000 __init__.py:686(set_mouse_platform_visible)
      150    0.000    0.000    0.000    0.000 __init__.py:708(format)
        2    0.000    0.000    0.000    0.000 __init__.py:719(_update_exclusivity)
        1    0.000    0.000    0.003    0.003 __init__.py:721(get_data)
        1    0.000    0.000    0.027    0.027 __init__.py:74(add_default_media_codecs)
       27    0.000    0.000    0.000    0.000 __init__.py:754(__init__)
       13    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
      240    0.000    0.000    0.000    0.000 __init__.py:767(__lt__)
       32    0.000    0.000    0.000    0.000 __init__.py:77(find_spec)
      378    0.000    0.000    0.000    0.000 __init__.py:772(__eq__)
      956    0.000    0.000    0.001    0.000 __init__.py:777(__hash__)
        1    0.000    0.000    0.000    0.000 __init__.py:78(get_display)
       60    0.001    0.000    0.341    0.006 __init__.py:797(create_texture)
        1    0.000    0.000    0.000    0.000 __init__.py:82(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:82(DocumentDecodeException)
        1    0.002    0.002    0.026    0.026 __init__.py:821(set_icon)
       60    0.000    0.000    0.341    0.006 __init__.py:832(get_texture)
        2    0.000    0.000    0.000    0.000 __init__.py:838(on_key_press)
        1    0.000    0.000    0.000    0.000 __init__.py:847(_set_wm_normal_hints)
        4    0.000    0.000    0.000    0.000 __init__.py:857(_set_text_property)
      222    0.000    0.000    0.000    0.000 __init__.py:865(draw_mouse_cursor)
        1    0.000    0.000    0.000    0.000 __init__.py:87(DocumentDecoder)
        1    0.000    0.000    0.000    0.000 __init__.py:880(_set_atoms_property)
        1    0.000    0.000    0.000    0.000 __init__.py:886(get_region)
       28    0.000    0.000    0.012    0.000 __init__.py:89(load)
       90    0.094    0.001    0.097    0.001 __init__.py:906(blit_to_texture)
        2    0.000    0.000    0.000    0.000 __init__.py:916(style)
        8    0.000    0.000    0.000    0.000 __init__.py:950(display)
        1    0.000    0.000    0.000    0.000 __init__.py:962(dispatch_pending_events)
        2    0.000    0.000    0.000    0.000 __init__.py:966(config)
      896    0.000    0.000    0.000    0.000 __init__.py:974(context)
       10    0.000    0.000    0.000    0.000 __init__.py:974(dispatch_platform_event)
        2    0.000    0.000    0.000    0.000 __init__.py:981(dispatch_platform_event_view)
      667    0.000    0.000    0.001    0.000 __init__.py:983(width)
        4    0.000    0.000    0.000    0.000 __init__.py:986(_translate_modifiers)
        1    0.000    0.000    3.673    3.673 __init__.py:99(run)
      667    0.000    0.000    0.000    0.000 __init__.py:995(height)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:813(get)
       32    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
       59    0.000    0.000    0.000    0.000 _weakrefset.py:111(remove)
      225    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
      225    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
      225    0.001    0.000    0.002    0.000 _weakrefset.py:27(__exit__)
      125    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
      225    0.001    0.000    0.001    0.000 _weakrefset.py:53(_commit_removals)
      450    0.001    0.000    0.003    0.000 _weakrefset.py:63(__iter__)
       92    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        7    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 allocation.py:121(set_capacity)
       98    0.000    0.000    0.000    0.000 allocation.py:134(alloc)
       72    0.000    0.000    0.000    0.000 allocation.py:279(dealloc)
     5539    0.001    0.000    0.001    0.000 allocation.py:338(get_allocated_regions)
        1    0.000    0.000    0.000    0.000 allocation.py:83(__init__)
       84    0.000    0.000    0.000    0.000 allocation.py:92(__init__)
        2    0.000    0.000    0.000    0.000 application.py:217(on_key_press)
      222    0.001    0.000    0.539    0.002 application.py:242(on_draw)
       59    0.000    0.000    0.357    0.006 application.py:248(on_frame_ready)
        1    0.000    0.000    3.673    3.673 application.py:256(run)
        5    0.000    0.000    0.016    0.003 application.py:29(<lambda>)
        1    0.000    0.000    0.264    0.264 application.py:32(__init__)
        5    0.000    0.000    0.016    0.003 application.py:86(check_storage)
        5    0.000    0.000    0.016    0.003 application.py:89(get_mount_path)
        1    0.000    0.000    0.000    0.000 atlas.py:107(__init__)
       19    0.000    0.000    0.000    0.000 atlas.py:123(alloc)
        1    0.001    0.001    0.049    0.049 atlas.py:181(__init__)
       19    0.000    0.000    0.013    0.001 atlas.py:198(add)
        1    0.000    0.000    0.000    0.000 atlas.py:230(__init__)
       19    0.000    0.000    0.062    0.003 atlas.py:248(add)
        1    0.000    0.000    0.000    0.000 atlas.py:76(__init__)
       19    0.000    0.000    0.000    0.000 atlas.py:82(add)
        1    0.000    0.000    0.076    0.076 audio_manager.py:18(__init__)
      147    0.000    0.000    0.000    0.000 audio_manager.py:37(frame)
        2    0.009    0.004    0.009    0.004 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:100(get_default_screen)
       14    0.000    0.000    0.000    0.000 base.py:106(get_grapheme_clusters)
        1    0.000    0.000    0.000    0.000 base.py:116(start)
        1    0.000    0.000    0.000    0.000 base.py:118(AudioData)
        2    0.000    0.000    0.000    0.000 base.py:119(__init__)
        1    0.000    0.000    0.000    0.000 base.py:139(Glyph)
        1    0.000    0.000    0.000    0.000 base.py:140(get_gl_attributes)
        1    0.000    0.000    0.000    0.000 base.py:147(<listcomp>)
        1    0.001    0.001    3.673    3.673 base.py:152(run)
       11    0.000    0.000    0.000    0.000 base.py:158(set_bearings)
        1    0.000    0.000    0.007    0.007 base.py:164(get_best_config)
        1    0.000    0.000    0.000    0.000 base.py:176(_legacy_setup)
        1    0.000    0.000    0.000    0.000 base.py:187(SourceInfo)
       60    0.000    0.000    0.000    0.000 base.py:210(__init__)
      224    0.003    0.000    3.243    0.014 base.py:213(idle)
        1    0.000    0.000    0.000    0.000 base.py:214(GlyphTextureAtlas)
        1    0.000    0.000    0.000    0.000 base.py:215(Source)
       11    0.000    0.000    0.001    0.000 base.py:228(fit)
      224    0.000    0.000    0.001    0.000 base.py:252(has_exit)
        1    0.000    0.000    0.000    0.000 base.py:258(GlyphRenderer)
        4    0.000    0.000    0.000    0.000 base.py:261(__init__)
        1    0.000    0.000    0.000    0.000 base.py:268(FontException)
        1    0.000    0.000    0.000    0.000 base.py:268(has_exit)
        1    0.000    0.000    0.000    0.000 base.py:274(Font)
        1    0.000    0.000    0.000    0.000 base.py:279(<lambda>)
        1    0.000    0.000    0.000    0.000 base.py:289(<lambda>)
        1    0.000    0.000    0.000    0.000 base.py:298(<lambda>)
        1    0.000    0.000    0.000    0.000 base.py:302(__init__)
        1    0.000    0.000    0.000    0.000 base.py:303(__init__)
        1    0.000    0.000    0.000    0.000 base.py:316(attach)
      226    0.002    0.000    0.005    0.000 base.py:326(set_current)
       11    0.000    0.000    0.001    0.000 base.py:337(create_glyph)
        2    0.000    0.000    0.000    0.000 base.py:358(__init__)
       11    0.000    0.000    0.000    0.000 base.py:371(_adapt_texture_size)
       14    0.000    0.000    0.003    0.000 base.py:376(get_glyphs)
       58    0.010    0.000    0.011    0.000 base.py:377(delete_texture)
      177    0.000    0.000    0.000    0.000 base.py:396(delete_buffer)
        1    0.000    0.000    0.000    0.000 base.py:406(StreamingSource)
        1    0.000    0.000    0.000    0.000 base.py:414(get_info)
        1    0.000    0.000    0.000    0.000 base.py:43(AudioFormat)
        1    0.000    0.000    0.000    0.000 base.py:431(StaticSource)
        1    0.000    0.000    0.000    0.000 base.py:488(StaticMemorySource)
       56    0.000    0.000    0.000    0.000 base.py:53(<lambda>)
        1    0.000    0.000    0.000    0.000 base.py:550(SourceGroup)
      112    0.000    0.000    0.000    0.000 base.py:57(<lambda>)
       56    0.000    0.000    0.000    0.000 base.py:59(<lambda>)
       56    0.000    0.000    0.000    0.000 base.py:61(<lambda>)
       56    0.000    0.000    0.000    0.000 base.py:62(<lambda>)
       56    0.000    0.000    0.000    0.000 base.py:65(_grapheme_break)
        1    0.000    0.000    0.000    0.000 base.py:82(VideoFormat)
        1    0.000    0.000    0.000    0.000 buffered_logger.py:1(<module>)
        1    0.000    0.000    0.000    0.000 buffered_logger.py:46(BufferedLogger)
        1    0.000    0.000    0.000    0.000 camera.py:116(init)
        1    0.000    0.000    0.000    0.000 camera.py:126(<listcomp>)
        1    0.000    0.000    0.000    0.000 camera.py:42(_setup__camera)
        1    0.000    0.000    0.000    0.000 camera.py:76(get_backends)
        1    0.000    0.000    0.000    0.000 caret.py:1(<module>)
        1    0.000    0.000    0.000    0.000 caret.py:59(Caret)
        4    0.000    0.000    0.000    0.000 clock.py:135(__init__)
     1455    0.000    0.000    0.000    0.000 clock.py:143(__lt__)
      224    0.001    0.000    0.001    0.000 clock.py:208(update_time)
      224    0.002    0.000    1.041    0.005 clock.py:233(call_scheduled_functions)
      223    0.001    0.000    0.001    0.000 clock.py:351(get_sleep_time)
        4    0.000    0.000    0.000    0.000 clock.py:399(_get_nearest_ts)
        3    0.000    0.000    0.000    0.000 clock.py:415(_get_soft_next_ts)
        4    0.000    0.000    0.000    0.000 clock.py:416(taken)
        2    0.000    0.000    0.000    0.000 clock.py:503(schedule_interval)
        2    0.000    0.000    0.000    0.000 clock.py:523(schedule_interval_soft)
        1    0.000    0.000    0.000    0.000 clock.py:557(unschedule)
        1    0.000    0.000    0.000    0.000 clock.py:571(<genexpr>)
        1    0.000    0.000    0.000    0.000 clock.py:583(<listcomp>)
        2    0.000    0.000    0.000    0.000 clock.py:684(schedule_interval)
        2    0.000    0.000    0.000    0.000 clock.py:699(schedule_interval_soft)
        1    0.000    0.000    0.000    0.000 clock.py:741(unschedule)
        6    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        6    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        6    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       19    0.000    0.000    0.000    0.000 contextlib.py:446(_create_cb_wrapper)
       19    0.000    0.000    0.000    0.000 contextlib.py:448(_exit_wrapper)
       12    0.000    0.000    0.000    0.000 contextlib.py:452(__init__)
       19    0.000    0.000    0.000    0.000 contextlib.py:496(callback)
       19    0.000    0.000    0.000    0.000 contextlib.py:514(_push_exit_callback)
       12    0.000    0.000    0.000    0.000 contextlib.py:530(__enter__)
